CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2
08/15/2013,17:05,Brooklyn,11224,40.5741231,-74.0040784,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,,115384,SPORT UTILITY / STATION WAGON,
08/24/2013,3:00,Queens,11691,40.5933206,-73.7727134,1.0,2.0,0,0,0,0,1,2,Traffic Control Disregarded,Unspecified,203203,PASSENGER VEHICLE,PASSENGER VEHICLE
08/24/2013,17:00,Brooklyn,11203,40.6494525,-73.9407657,1.0,1.0,0,0,0,0,1,1,Unspecified,Unspecified,138945,PASSENGER VEHICLE,PASSENGER VEHICLE
08/15/2013,2:03,Brooklyn,11224,40.5764221,-73.9697655,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,,115380,SPORT UTILITY / STATION WAGON,
08/09/2013,20:26,Staten Island,10304,40.595951,-74.0958614,2.0,1.0,2,1,0,0,0,0,Unspecified,,299141,UNKNOWN,
07/30/2013,1:07,Queens,11364.0,40.7357781,-73.7465392,1.0,1.0,0,0,0,0,1,1,Physical Disability,Unspecified,262382,MOTORCYCLE,BUS
07/07/2013,2:44,Brooklyn,11230.0,40.6241708,-73.9704715,2.0,1.0,0,0,0,0,2,1,Traffic Control Disregarded,,132900,PASSENGER VEHICLE,
06/24/2013,16:27,Bronx,10466.0,40.8968966,-73.8441665,1.0,1.0,1,1,0,0,0,0,Unspecified,Unspecified,97798,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
07/07/2013,19:38,Queens,11364.0,40.7533324,-73.7681322,1.0,1.0,0,0,0,0,1,1,Physical Disability,Unspecified,262199,PASSENGER VEHICLE,PASSENGER VEHICLE
06/04/2013,8:15,Manhattan,10025.0,40.7947356,-73.9698722,1.0,1.0,1,1,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,58683,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
06/11/2013,12:44,Bronx,10459.0,40.8196938,-73.9016016,2.0,1.0,2,0,0,0,0,1,Unspecified,Unspecified,74581,TAXI,PASSENGER VEHICLE
06/10/2013,23:47,Brooklyn,11238,40.670658,-73.9579745,1.0,1.0,0,1,0,0,1,0,Unspecified,,154210,PASSENGER VEHICLE,
